rider_id,gps_accuracy_meters,accelerometer_variance,gyroscope_variance,wifi_ssid_count,is_spoof
1000,11.0,2.095,1.093,6,0
1001,239.8,0.052,0.053,1,1
1002,12.1,2.911,2.488,6,0
1003,3.5,1.047,2.166,8,0
1004,5.3,1.97,1.127,5,0
1005,5.9,2.251,1.894,3,0
1006,6.6,2.564,1.521,8,0
1007,84.7,0.078,0.062,2,1
1008,11.1,2.217,0.722,11,0
1009,5.7,1.258,1.74,8,0
1010,3.2,1.589,2.025,3,0
1011,297.2,0.077,0.043,1,1
1012,121.3,0.04,0.022,2,1
1013,10.4,2.297,0.523,7,0
1014,17.6,1.436,1.126,14,0
1015,17.3,2.55,1.401,10,0
1016,11.2,0.565,1.051,5,0
1017,14.7,0.757,1.051,13,0
1018,5.5,2.153,0.77,11,0
1019,14.4,1.228,2.107,11,0
1020,6.9,2.878,2.307,14,0
1021,17.0,1.59,0.573,12,0
1022,3.5,1.573,0.725,13,0
1023,15.9,2.195,0.88,7,0
1024,3.8,2.419,1.469,6,0
1025,17.9,1.689,2.061,9,0
1026,7.5,1.035,0.55,11,0
1027,13.8,2.433,1.737,8,0
1028,10.8,1.301,0.714,9,0
1029,8.6,0.938,2.44,3,0
1030,13.6,2.079,2.287,6,0
1031,19.1,0.726,2.394,4,0
1032,2.7,2.928,0.623,3,0
1033,259.3,0.015,0.018,2,1
1034,97.6,0.073,0.058,2,1
1035,287.7,0.019,0.036,2,1
1036,8.9,2.928,0.889,12,0
1037,10.5,0.864,2.018,6,0
1038,17.6,0.602,1.752,4,0
1039,9.5,0.582,1.6,7,0
1040,11.6,1.662,2.133,9,0
1041,2.4,0.708,1.451,4,0
1042,4.9,1.78,0.967,9,0
1043,256.7,0.075,0.05,2,1
1044,14.9,1.339,2.41,10,0
1045,12.5,2.089,1.662,9,0
1046,4.6,0.908,1.722,3,0
1047,10.0,2.416,2.363,11,0
1048,8.4,1.955,1.482,8,0
1049,10.9,2.787,2.492,14,0
1050,139.8,0.061,0.062,1,1
1051,16.0,2.957,1.528,8,0
1052,155.4,0.075,0.065,2,1
1053,51.0,0.057,0.046,1,1
1054,10.5,0.568,0.758,10,0
1055,112.9,0.08,0.032,1,1
1056,4.5,2.542,0.843,7,0
1057,14.1,0.633,1.072,9,0
1058,6.3,1.947,0.683,3,0
1059,9.9,2.505,2.1,8,0
1060,2.3,1.903,0.863,13,0
1061,4.7,0.66,1.275,13,0
1062,122.3,0.043,0.064,1,1
1063,6.3,0.651,0.62,9,0
1064,3.8,2.544,2.282,12,0
1065,14.5,0.608,2.158,9,0
1066,2.5,0.843,2.166,12,0
1067,163.2,0.033,0.039,2,1
1068,4.5,2.083,0.697,14,0
1069,84.8,0.038,0.076,1,1
1070,18.8,0.795,1.672,14,0
1071,6.1,0.857,2.139,11,0
1072,13.1,1.422,2.29,7,0
1073,169.7,0.035,0.068,1,1
1074,18.8,1.668,1.074,13,0
1075,11.4,1.304,0.612,9,0
1076,2.8,1.903,2.026,9,0
1077,8.2,1.151,0.979,11,0
1078,3.4,1.503,1.41,4,0
1079,9.1,1.332,2.351,12,0
1080,217.1,0.038,0.062,2,1
1081,10.5,2.811,0.511,10,0
1082,8.9,2.399,0.417,10,0
1083,4.1,1.598,2.054,5,0
1084,6.4,1.761,1.56,7,0
1085,3.8,0.813,1.913,14,0
1086,16.5,2.367,0.729,6,0
1087,4.4,1.991,2.231,6,0
1088,142.8,0.072,0.027,2,1
1089,8.2,1.002,2.271,8,0
1090,6.1,2.399,1.116,14,0
1091,13.5,2.212,0.979,3,0
1092,10.2,1.165,0.719,10,0
1093,9.2,2.168,2.353,14,0
1094,12.7,2.811,0.771,12,0
1095,10.8,2.796,0.651,11,0
1096,7.5,2.299,0.805,13,0
1097,12.1,0.62,2.02,7,0
1098,14.1,2.681,2.268,8,0
1099,2.5,2.144,2.103,3,0
1100,10.4,1.276,1.583,8,0
1101,3.0,0.968,2.487,3,0
1102,5.4,0.791,0.545,7,0
1103,12.1,0.626,2.221,11,0
1104,108.0,0.051,0.035,1,1
1105,17.9,1.09,1.356,5,0
1106,3.3,0.561,0.668,14,0
1107,9.5,1.493,0.47,6,0
1108,12.5,1.707,1.065,5,0
1109,4.6,0.923,0.767,6,0
1110,15.8,0.61,1.415,14,0
1111,15.4,0.973,0.709,14,0
1112,186.9,0.061,0.069,1,1
1113,57.3,0.03,0.012,2,1
1114,5.9,1.888,2.335,5,0
1115,135.2,0.079,0.065,1,1
1116,181.9,0.03,0.038,2,1
1117,18.1,1.483,2.019,3,0
1118,134.0,0.021,0.066,2,1
1119,12.7,0.933,1.784,13,0
1120,136.4,0.064,0.049,2,1
1121,262.1,0.069,0.047,2,1
1122,11.2,2.373,0.898,4,0
1123,13.0,0.687,2.165,10,0
1124,5.4,2.651,1.862,9,0
1125,6.9,2.541,1.357,14,0
1126,283.5,0.038,0.059,1,1
1127,256.8,0.048,0.066,1,1
1128,17.4,2.557,1.931,6,0
1129,8.2,0.957,1.476,4,0
1130,6.8,0.811,1.315,6,0
1131,19.7,0.612,1.059,11,0
1132,18.4,2.848,1.675,12,0
1133,2.5,1.27,2.429,4,0
1134,74.7,0.039,0.059,1,1
1135,4.0,1.182,0.464,12,0
1136,2.5,2.769,1.41,8,0
1137,6.9,2.76,1.092,6,0
1138,6.8,2.809,1.472,10,0
1139,122.4,0.031,0.042,1,1
1140,227.8,0.067,0.032,1,1
1141,19.7,2.877,2.041,12,0
1142,14.8,1.312,1.398,5,0
1143,9.5,1.547,2.483,9,0
1144,14.6,2.298,0.453,7,0
1145,20.0,1.251,0.798,13,0
1146,14.8,2.385,1.848,3,0
1147,15.7,0.685,1.86,5,0
1148,18.9,1.809,1.623,11,0
1149,4.0,0.806,2.441,11,0
1150,293.6,0.063,0.069,1,1
1151,17.3,1.147,1.276,7,0
1152,19.2,2.597,2.312,13,0
1153,5.8,0.984,1.531,6,0
1154,110.6,0.044,0.046,1,1
1155,14.2,2.485,1.91,6,0
1156,6.5,1.747,1.701,4,0
1157,12.8,1.085,1.043,9,0
1158,6.6,1.067,1.026,5,0
1159,8.0,1.662,1.231,3,0
1160,9.9,0.522,0.55,14,0
1161,11.5,1.828,2.379,13,0
1162,10.1,2.882,0.784,12,0
1163,10.9,0.887,0.807,5,0
1164,7.4,1.933,1.759,11,0
1165,274.6,0.042,0.065,2,1
1166,2.9,2.651,1.947,11,0
1167,5.5,2.626,1.188,12,0
1168,12.5,2.555,2.234,9,0
1169,16.2,1.273,1.542,3,0
1170,5.0,2.727,1.321,8,0
1171,4.0,2.853,2.102,12,0
1172,15.5,1.739,0.911,3,0
1173,7.5,1.386,2.206,4,0
1174,19.1,1.536,1.532,5,0
1175,14.9,1.336,2.29,13,0
1176,7.9,1.031,0.823,13,0
1177,7.2,2.046,2.366,8,0
1178,234.8,0.023,0.08,2,1
1179,3.4,1.656,1.698,9,0
1180,4.1,0.74,1.286,10,0
1181,5.2,2.492,2.408,11,0
1182,295.9,0.055,0.055,1,1
1183,73.4,0.075,0.029,1,1
1184,2.2,2.058,2.041,7,0
1185,14.1,1.497,0.998,12,0
1186,148.7,0.06,0.071,1,1
1187,11.2,1.389,2.028,10,0
1188,5.9,2.429,0.67,7,0
1189,11.9,2.038,2.128,12,0
1190,19.6,1.407,1.713,4,0
1191,169.5,0.045,0.029,1,1
1192,218.0,0.013,0.028,2,1
1193,6.4,2.719,2.051,12,0
1194,6.5,2.116,2.09,14,0
1195,8.8,2.532,1.414,9,0
1196,16.7,1.804,1.217,12,0
1197,213.5,0.075,0.015,1,1
1198,276.6,0.032,0.015,2,1
1199,11.8,2.433,1.743,12,0
1200,13.5,2.775,0.834,10,0
1201,11.4,1.578,2.068,12,0
1202,9.8,2.761,2.253,12,0
1203,259.7,0.031,0.07,2,1
1204,10.8,2.675,2.022,4,0
1205,9.2,0.598,2.191,14,0
1206,16.3,2.145,2.482,14,0
1207,15.7,2.62,0.899,4,0
1208,4.4,0.936,1.179,10,0
1209,3.6,2.154,2.429,6,0
1210,18.3,2.562,0.597,10,0
1211,11.6,1.22,1.5,11,0
1212,17.4,1.513,1.464,8,0
1213,3.0,1.924,1.674,11,0
1214,11.5,1.798,1.095,8,0
1215,11.7,0.598,2.344,13,0
1216,17.5,0.747,0.967,5,0
1217,3.8,0.751,1.764,10,0
1218,6.3,1.156,1.441,3,0
1219,63.8,0.043,0.026,2,1
1220,17.6,2.356,0.797,5,0
1221,18.9,1.932,2.409,12,0
1222,19.9,2.41,1.579,12,0
1223,19.3,0.675,1.669,5,0
1224,2.1,1.713,2.044,11,0
1225,2.9,1.309,0.571,9,0
