disruption_event_id,total_enrolled_riders,claims_filed,claim_rate,is_api_verified,hour_of_day,is_anomaly
1,100,35,0.35,True,21,0
2,120,109,0.908,False,12,1
3,97,45,0.464,True,11,0
4,68,21,0.309,False,19,0
5,311,146,0.469,False,2,0
6,133,44,0.331,False,2,0
7,204,86,0.422,True,13,0
8,102,48,0.471,False,17,0
9,156,73,0.468,False,18,0
10,406,88,0.217,False,9,0
11,353,92,0.261,True,16,0
12,184,169,0.918,False,14,1
13,492,162,0.329,False,18,0
14,118,46,0.39,False,8,0
15,60,29,0.483,False,3,0
16,192,44,0.229,False,14,0
17,241,80,0.332,True,18,0
18,436,112,0.257,True,15,0
19,427,199,0.466,True,7,0
20,118,57,0.483,False,16,0
21,72,24,0.333,False,20,0
22,230,53,0.23,True,0,0
23,342,148,0.433,False,6,0
24,58,23,0.397,False,20,0
25,320,98,0.306,False,17,0
26,436,203,0.466,True,11,0
27,142,69,0.486,True,15,0
28,66,24,0.364,True,0,0
29,203,75,0.369,True,14,0
30,454,131,0.289,True,6,0
31,377,141,0.374,True,16,0
32,198,65,0.328,False,2,0
33,426,123,0.289,True,10,0
34,316,69,0.218,False,5,0
35,471,385,0.817,False,5,1
36,377,97,0.257,True,14,0
37,155,56,0.361,True,6,0
38,430,163,0.379,True,10,0
39,84,32,0.381,False,16,0
40,168,53,0.315,True,22,0
41,63,20,0.317,False,17,0
42,63,28,0.444,False,21,0
43,315,108,0.343,False,23,0
44,189,93,0.492,False,20,0
45,343,113,0.329,False,18,0
46,413,163,0.395,True,7,0
47,168,36,0.214,False,23,0
48,287,113,0.394,True,19,0
49,83,37,0.446,True,7,0
50,218,105,0.482,False,20,0
51,59,53,0.898,False,10,1
52,171,48,0.281,False,20,0
53,450,167,0.371,True,2,0
54,194,65,0.335,False,22,0
55,495,182,0.368,True,13,0
56,272,67,0.246,True,8,0
57,420,191,0.455,True,0,0
58,306,144,0.471,False,0,0
59,317,106,0.334,True,11,0
60,408,115,0.282,False,10,0
61,53,12,0.226,False,20,0
62,475,192,0.404,False,0,0
63,446,130,0.291,False,19,0
64,403,190,0.471,False,11,0
65,155,62,0.4,False,16,0
66,134,52,0.388,False,14,0
67,263,96,0.365,True,1,0
68,170,36,0.212,False,17,0
69,181,86,0.475,False,15,0
70,387,306,0.791,False,3,1
71,246,122,0.496,True,7,0
72,68,24,0.353,False,1,0
73,179,73,0.408,True,13,0
74,61,13,0.213,False,14,0
75,130,50,0.385,True,8,0
76,379,162,0.427,False,1,0
77,403,174,0.432,True,16,0
78,311,134,0.431,False,9,0
79,441,118,0.268,False,8,0
80,174,85,0.489,False,1,0
81,356,177,0.497,False,23,0
82,316,70,0.222,True,18,0
83,496,238,0.48,True,16,0
84,490,140,0.286,True,10,0
85,432,175,0.405,False,16,0
86,189,56,0.296,True,9,0
87,378,185,0.489,True,17,0
88,51,11,0.216,False,22,0
89,57,19,0.333,False,5,0
90,299,98,0.328,False,15,0
91,188,55,0.293,True,17,0
92,173,68,0.393,True,19,0
93,358,85,0.237,False,17,0
94,277,114,0.412,True,0,0
95,59,29,0.492,False,2,0
96,261,115,0.441,False,14,0
97,161,73,0.453,False,19,0
98,57,17,0.298,True,9,0
99,341,101,0.296,False,20,0
100,411,145,0.353,False,4,0
101,302,64,0.212,False,14,0
102,63,30,0.476,True,22,0
103,289,70,0.242,True,13,0
104,487,229,0.47,True,14,0
105,291,65,0.223,False,9,0
106,391,174,0.445,False,23,0
107,198,48,0.242,True,8,0
108,285,60,0.211,False,11,0
109,355,147,0.414,True,6,0
110,216,61,0.282,False,4,0
111,69,28,0.406,False,23,0
112,265,97,0.366,True,9,0
113,392,91,0.232,True,7,0
114,184,88,0.478,True,21,0
115,442,148,0.335,False,19,0
116,178,74,0.416,False,15,0
117,459,160,0.349,False,11,0
118,471,179,0.38,True,8,0
119,343,99,0.289,False,9,0
120,295,76,0.258,True,15,0
121,238,86,0.361,False,9,0
122,93,30,0.323,True,8,0
123,135,42,0.311,False,2,0
124,93,37,0.398,False,18,0
125,379,154,0.406,False,10,0
126,424,90,0.212,False,5,0
127,495,149,0.301,True,5,0
128,427,138,0.323,True,14,0
129,439,100,0.228,False,14,0
130,194,52,0.268,True,12,0
131,100,21,0.21,True,21,0
132,291,145,0.498,False,4,0
133,343,144,0.42,False,13,0
134,457,103,0.225,True,20,0
135,100,20,0.2,True,1,0
136,315,130,0.413,True,22,0
137,169,56,0.331,False,11,0
138,249,108,0.434,False,19,0
139,454,216,0.476,False,13,0
140,297,266,0.896,False,18,1
141,119,111,0.933,False,23,1
142,390,169,0.433,False,19,0
143,106,51,0.481,False,14,0
144,431,161,0.374,True,19,0
145,88,35,0.398,False,23,0
146,338,101,0.299,False,16,0
147,492,154,0.313,False,13,0
148,67,28,0.418,False,22,0
149,489,233,0.476,True,17,0
150,269,104,0.387,True,21,0
151,362,158,0.436,False,23,0
152,293,73,0.249,True,4,0
153,401,105,0.262,False,21,0
154,353,126,0.357,False,11,0
155,347,261,0.752,False,9,1
156,332,129,0.389,False,7,0
157,123,35,0.285,False,5,0
158,159,69,0.434,False,14,0
159,229,101,0.441,False,11,0
160,475,161,0.339,True,5,0
161,81,20,0.247,True,11,0
162,283,111,0.392,True,14,0
163,331,164,0.495,True,11,0
164,74,28,0.378,True,8,0
165,380,80,0.211,True,18,0
166,328,67,0.204,False,20,0
167,275,81,0.295,False,1,0
168,106,27,0.255,True,12,0
169,229,101,0.441,False,12,0
170,281,127,0.452,False,7,0
171,431,119,0.276,True,12,0
172,392,116,0.296,False,3,0
173,336,91,0.271,False,5,0
174,113,53,0.469,True,5,0
175,281,98,0.349,False,20,0
176,338,134,0.396,True,11,0
177,262,85,0.324,False,11,0
178,307,119,0.388,True,16,0
179,67,21,0.313,False,6,0
180,224,67,0.299,False,14,0
181,466,181,0.388,False,23,0
182,278,104,0.374,True,16,0
183,275,79,0.287,False,9,0
184,133,32,0.241,False,22,0
185,340,105,0.309,False,19,0
186,484,157,0.324,False,5,0
187,419,162,0.387,False,8,0
188,295,139,0.471,False,14,0
189,451,95,0.211,False,15,0
190,159,43,0.27,False,20,0
191,303,78,0.257,False,7,0
192,137,48,0.35,False,15,0
193,121,39,0.322,True,4,0
194,430,180,0.419,False,17,0
195,79,21,0.266,False,19,0
196,221,83,0.376,True,13,0
197,358,166,0.464,False,1,0
198,443,209,0.472,False,22,0
199,392,191,0.487,True,22,0
200,485,209,0.431,False,2,0
201,226,106,0.469,True,13,0
202,188,50,0.266,True,6,0
203,243,63,0.259,False,14,0
204,235,47,0.2,True,16,0
205,267,110,0.412,True,0,0
206,213,102,0.479,False,8,0
207,210,53,0.252,True,21,0
208,480,187,0.39,False,13,0
